Column1,name,ジャンル,その他ジャンル,都道府県,住所,電話番号,最寄り駅,Googleマップ,ウェブサイト,Twitter,Facebook,Instagram,normalized_name,name_count_norm,is_chain
2800.0,魔人豚,ラーメン・つけ麺,ラーメン,埼玉県,埼玉県川越市小堤９１０－２８,9038102626.0,若葉,"https://maps.google.com/maps?ll=35.944671,139.416412&z=14&t=m&hl=ja&gl=US&mapclient=embed&q=%E3%80%92350-0811%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E5%B7%9D%E8%B6%8A%E5%B8%82%E5%A4%A7%E5%AD%97%E5%B0%8F%E5%A0%A4%EF%BC%99%EF%BC%91%EF%BC%90%E2%88%92%EF%BC%92%EF%BC%98",,,,,魔人豚,2.0,False
2801.0,Hangout,喫茶店・カフェ,,埼玉県,埼玉県鶴ヶ島市鶴ヶ丘69-18,9040242408.0,鶴ヶ島駅,https://goo.gl/maps/2PzVu9QmnQAgADpN6,,,,https://www.instagram.com/hangout_tsurugashima/,Hangout,2.0,False
2802.0,AQUA VITA,イタリアン,,東京都,東京都羽村市羽東1-22,9042959989.0,羽村駅,https://goo.gl/maps/GHKZNPQQ5ibm1Lh88,http://aquavita2015.jp/,https://twitter.com/aquavita2015,https://facebook.com/Cafe-Bar-Aquavita-106420107532273/,https://www.instagram.com/aquavita2015/,AQUA VITA,2.0,False
2803.0,信州家,そば・うどん,,長野県,長野県松本市筑摩1-2-5,9044605776.0,松本駅,https://goo.gl/maps/W5VdTD62u8DGvee88,https://shinshuya.shinshu-soba.shop/,,,,信州家,2.0,False
2804.0,はんの樹,ベジ・ヴィーガン,,群馬県,群馬県桐生市本町6-398rooster2F,9045304721.0,桐生駅,https://goo.gl/maps/ztHeC9PKeAhbyJpk7,,,,,はんの樹,2.0,False
2805.0,Rica’s kitchen,その他,体にやさしい料理と美味しいワイン,東京都,東京都目黒区中目黒3-22-11メグロハイム102,9045420700.0,中目黒駅,,https://ricas-kitchen.com,,,,Rica’s kitchen,2.0,False
2806.0,ダンポテトカフェ,カフェレストラン,,東京都,東京都品川区平塚2丁目11-12,9046795473.0,戸越銀座駅,https://goo.gl/maps/AncNRAhP7gWygwxS6,https://danpotatotogoshi.wixsite.com/togoshi,https://mobile.twitter.com/DanPotato_1054,https://facebook.com/DANpotato1,https://instagram.com/danpotato.cafe?igshid=1im7vchphfbdx,ダンポテトカフェ,2.0,False
2807.0,nico＋,その他,米粉のマフィン(お食事マフィンあり),埼玉県,埼玉県狭山市南入曽652-5サヤマハウスC-103,9048444431.0,入曽駅,https://maps.app.goo.gl/inaJe2HUCJ6tr1id6,,,,http://instagram.com/nicoplus2018/,nico＋,1.0,False
2808.0,69spirits,バー,球磨焼酎の専門BAR,熊本県,熊本県熊本市中央区手取本町2-7和光ビル地下,9049977581.0,熊本城・市役所前,https://goo.gl/maps/2zsPBoT7qHuWgDY36,,,https://www.facebook.com/69spirits/,,69spirits,2.0,False
2809.0,ツキニカフェ,カフェレストラン,,京都府,京都府京都市左京区田中高原町29-1,9050562030.0,茶山駅,https://goo.gl/maps/z2XSEJ9pyGeuu6wt9,,,,,ツキニカフェ,2.0,False
